candidate_terms
x1(t-1)
x1(t-2)
x1(t-3)
x1(t-4)
x1(t-5)
x2(t-1)
x2(t-2)
x2(t-3)
x2(t-4)
x2(t-5)
x3(t-1)
x3(t-2)
x3(t-3)
x3(t-4)
x3(t-5)
x4(t-1)
x4(t-2)
x4(t-3)
x4(t-4)
x4(t-5)
x5(t-1)
x5(t-2)
x5(t-3)
x5(t-4)
x5(t-5)
x6(t-1)
x6(t-2)
x6(t-3)
x6(t-4)
x6(t-5)
x7(t-1)
x7(t-2)
x7(t-3)
x7(t-4)
x7(t-5)
x8(t-1)
x8(t-2)
x8(t-3)
x8(t-4)
x8(t-5)
x9(t-1)
x9(t-2)
x9(t-3)
x9(t-4)
x9(t-5)
x10(t-1)
x10(t-2)
x10(t-3)
x10(t-4)
x10(t-5)
